timestamp_ms,elapsed_ms,client_01_bytes,client_01_concurrency,client_01_retries,client_01_success_ratio,client_01_predicted_bandwidth,client_01_predicted_max_rtt,client_01_predicted_max_rtt_standard_error,total_bytes,total_retries,total_concurrency,average_concurrency
1770412712813,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770412713063,250,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770412713313,500,0,1,0,1.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770412713563,750,0,1,0,1.000000,408660.232314,163.966813,0.000000,0,0,1,1.00
1770412713813,1000,0,1,0,1.000000,408660.232314,163.966813,0.000000,0,0,1,1.00
1770412714063,1250,0,1,0,1.000000,459643.326165,145.458778,0.000000,0,0,1,1.00
1770412714313,1500,0,1,0,1.000000,529632.558876,125.799685,0.000000,0,0,1,1.00
1770412714563,1750,0,1,0,1.000000,518752.927267,128.513570,0.000000,0,0,1,1.00
1770412714813,2000,0,1,0,1.000000,518752.927267,128.513570,0.000000,0,0,1,1.00
1770412715063,2250,0,1,0,1.000000,549674.430801,121.053467,0.000000,0,0,1,1.00
1770412715313,2500,0,1,0,1.000000,596307.020607,111.218684,0.000000,0,0,1,1.00
1770412715563,2750,0,1,0,1.000000,596307.020607,111.218684,0.000000,0,0,1,1.00
1770412715813,3000,0,1,0,1.000000,596307.020607,111.218684,0.000000,0,0,1,1.00
1770412716063,3250,0,1,0,1.000000,767355.627611,85.021485,0.000000,0,0,1,1.00
1770412716313,3500,0,1,0,1.000000,767355.627611,85.021485,0.000000,0,0,1,1.00
1770412716563,3750,0,1,0,1.000000,781491.060842,83.353371,0.000000,0,0,1,1.00
1770412716813,4000,0,1,0,1.000000,824013.713673,78.635973,0.000000,0,0,1,1.00
1770412717063,4250,0,1,0,1.000000,824013.713673,78.635973,0.000000,0,0,1,1.00
1770412717313,4500,0,1,0,1.000000,888868.672072,72.220919,0.000000,0,0,1,1.00
1770412717563,4750,0,1,0,1.000000,888868.672072,72.220919,0.000000,0,0,1,1.00
1770412717813,5000,0,1,0,1.000000,977321.452411,64.720145,0.000000,0,0,1,1.00
