scenario_name,network_utilization_percent,total_retries,average_per_client_concurrency,total_concurrency,total_data_transmitted_bytes,average_round_trip_time_ms
sanity_check-100mbps-20ms-none,25.20,0,12.15,12.15,61426611,356.27
sanity_check-10mbps-20ms-none,0.00,0,1.00,1.00,0,0.00
