timestamp_ms,elapsed_ms,client_01_bytes,client_01_concurrency,client_01_retries,client_01_success_ratio,client_01_predicted_bandwidth,client_01_predicted_max_rtt,client_01_predicted_max_rtt_standard_error,total_bytes,total_retries,total_concurrency,average_concurrency
1770246113359,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770246113609,250,0,1,0,1.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770246113859,500,0,1,0,1.000000,42440493.101590,1.414147,0.000000,0,0,1,1.00
1770246114109,750,57583134,2,0,1.000000,39544926.611522,1.544261,0.000000,57583134,0,2,2.00
1770246114359,1000,57583134,2,0,1.000000,55001100.232835,1.662903,0.000000,57583134,0,2,2.00
1770246114609,1250,57583134,3,0,1.000000,57161799.236593,2.409170,0.000000,57583134,0,3,3.00
1770246114859,1500,109219682,3,0,1.000000,24847452.146259,1.160796,1.696490,109219682,0,3,3.00
1770246115109,1750,109219682,3,0,1.000000,27052702.410382,1.186764,1.359925,109219682,0,3,3.00
1770246115359,2000,109219682,4,0,1.000000,26737133.159487,1.415367,1.784019,109219682,0,4,4.00
1770246115609,2250,238088831,4,0,1.000000,26678553.500896,1.319969,0.307402,238088831,0,4,4.00
1770246115859,2500,291156975,5,0,1.000000,26927471.937482,1.463584,0.339614,291156975,0,5,5.00
1770246116109,2750,348265313,5,0,1.000000,22729335.106609,1.156573,0.345735,348265313,0,5,5.00
1770246116359,3000,348265313,5,0,1.000000,23320008.561691,1.151127,0.355849,348265313,0,5,5.00
1770246116609,3250,517164917,6,0,1.000000,22521671.492319,1.187174,0.267028,517164917,0,6,6.00
1770246116859,3500,639132087,7,0,1.000000,24054829.014962,1.322268,0.266952,639132087,0,7,7.00
1770246117109,3750,639132087,7,0,1.000000,27276931.398429,1.343035,0.279051,639132087,0,7,7.00
1770246117359,4000,747463041,7,0,1.000000,23194753.346457,1.164541,0.227301,747463041,0,7,7.00
1770246117609,4250,812411624,8,0,1.000000,20903838.974293,1.115837,0.252137,812411624,0,8,8.00
1770246117859,4500,1004044253,8,0,1.000000,22896364.195752,1.192341,0.164247,1004044253,0,8,8.00
1770246118109,4750,1116942997,9,0,1.000000,22658935.786139,1.225005,0.189682,1116942997,0,9,9.00
1770246118359,5000,1175852177,9,0,1.000000,21634606.019543,1.130391,0.191210,1175852177,0,9,9.00
1770246118609,5250,1300039921,10,0,1.000000,25249862.275447,1.292238,0.191926,1300039921,0,10,10.00
1770246118859,5500,1471186083,10,0,1.000000,23599548.489515,1.216712,0.156456,1471186083,0,10,10.00
1770246119109,5750,1717601603,11,0,1.000000,23943902.435118,1.251985,0.135713,1717601603,0,11,11.00
1770246119359,6000,1775036594,11,0,1.000000,25241428.508371,1.210008,0.140168,1775036594,0,11,11.00
1770246119609,6250,2067458119,12,0,1.000000,23649908.611502,1.161151,0.141619,2067458119,0,12,12.00
1770246119859,6500,2229083284,12,0,1.000000,24606515.470877,1.125722,0.129122,2229083284,0,12,12.00
1770246120109,6750,2344455496,13,0,1.000000,25648042.796269,1.173989,0.144255,2344455496,0,13,13.00
1770246120359,7000,2471394491,13,0,1.000000,26926365.941345,1.160399,0.129437,2471394491,0,13,13.00
1770246120609,7250,2832220537,14,0,1.000000,25269325.668428,1.123828,0.117529,2832220537,0,14,14.00
1770246120859,7500,2896375919,14,0,1.000000,28062751.728216,1.142838,0.112921,2896375919,0,14,14.00
1770246121109,7750,3124582213,15,0,1.000000,29158169.348244,1.185557,0.114478,3124582213,0,15,15.00
1770246121359,8000,3178163656,15,0,1.000000,32621787.795009,1.196197,0.115666,3178163656,0,15,15.00
1770246121609,8250,3662783014,16,0,1.000000,33671974.511472,1.205638,0.095897,3662783014,0,16,16.00
1770246121859,8500,3849071398,16,0,1.000000,31032154.461054,1.118631,0.094339,3849071398,0,16,16.00
1770246122109,8750,4023992670,17,0,1.000000,36694150.469726,1.204835,0.099438,4023992670,0,17,17.00
1770246122359,9000,4260234528,17,0,1.000000,31988006.255054,1.103981,0.105174,4260234528,0,17,17.00
1770246122609,9250,4736099138,18,0,1.000000,37387690.723098,1.176690,0.096203,4736099138,0,18,18.00
1770246122859,9500,4846883262,18,0,1.000000,42662994.818920,1.173337,0.095102,4846883262,0,18,18.00
1770246123109,9750,5011219027,19,0,1.000000,40809004.229810,1.189908,0.110756,5011219027,0,19,19.00
1770246123359,10000,5359093361,19,0,1.000000,40976893.812148,1.175042,0.093216,5359093361,0,19,19.00
1770246123609,10250,5534471215,19,0,1.000000,41738154.874303,1.127905,0.091701,5534471215,0,19,19.00
1770246123859,10500,6047633840,20,0,1.000000,49438259.577330,1.122419,0.092185,6047633840,0,20,20.00
1770246124109,10750,6154220512,21,0,1.000000,55730003.016907,1.200684,0.105023,6154220512,0,21,21.00
1770246124359,11000,6519444135,21,0,1.000000,41595004.790478,1.130189,0.087466,6519444135,0,21,21.00
