timestamp_ms,elapsed_ms,client_01_bytes,client_01_concurrency,client_01_retries,client_01_success_ratio,client_01_predicted_bandwidth,client_01_predicted_max_rtt,client_01_predicted_max_rtt_standard_error,total_bytes,total_retries,total_concurrency,average_concurrency
1770247098075,0,0,1,0,0.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770247098325,250,0,1,0,1.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770247098575,500,0,1,0,1.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770247098825,750,0,1,0,1.000000,41891169.399924,1.700909,0.000000,0,0,1,1.00
1770247099075,1000,51489039,2,0,1.000000,36734001.209891,1.930502,0.000000,51489039,0,2,2.00
1770247099325,1250,51489039,3,0,1.000000,53323830.675196,3.107008,0.000000,51489039,0,3,3.00
1770247099575,1500,51489039,3,0,1.000000,25181150.965178,1.704319,0.000000,51489039,0,3,3.00
1770247099825,1750,182463512,3,0,1.000000,19155352.126583,1.007276,0.279727,182463512,0,3,3.00
1770247100075,2000,182463512,4,0,1.000000,22123107.975945,1.221783,0.481203,182463512,0,4,4.00
1770247100325,2250,237768288,4,0,1.000000,21604938.854472,0.992668,0.361470,237768288,0,4,4.00
1770247100575,2500,237768288,5,0,1.000000,21775323.452941,1.124284,0.516826,237768288,0,5,5.00
1770247100825,2750,357531824,5,0,1.000000,21086104.434979,1.049757,0.247512,357531824,0,5,5.00
1770247101075,3000,407923194,5,0,1.000000,22336871.164482,1.169716,0.265930,407923194,0,5,5.00
1770247101325,3250,469537724,6,0,1.000000,26793462.732450,1.396350,0.284431,469537724,0,6,6.00
1770247101575,3500,636238824,7,0,1.000000,21520235.169298,1.226768,0.258597,636238824,0,7,7.00
1770247101825,3750,636238824,7,0,1.000000,24295262.825302,1.265489,0.267254,636238824,0,7,7.00
1770247102075,4000,688612983,7,0,1.000000,21417219.883085,1.111504,0.261942,688612983,0,7,7.00
1770247102325,4250,864696253,8,0,1.000000,27846324.125964,1.393892,0.222366,864696253,0,8,8.00
1770247102575,4500,864696253,8,0,1.000000,27905585.114686,1.392390,0.229108,864696253,0,8,8.00
1770247102825,4750,1030183190,9,0,1.000000,21297844.156821,1.282539,0.218276,1030183190,0,9,9.00
1770247103075,5000,1089125916,9,0,1.000000,23963428.461233,1.337553,0.201321,1089125916,0,9,9.00
1770247103325,5250,1328805104,10,0,1.000000,20715740.246654,1.223367,0.178931,1328805104,0,10,10.00
1770247103575,5500,1394547064,10,0,1.000000,22270389.639218,1.259210,0.165267,1394547064,0,10,10.00
1770247103825,5750,1513292429,11,0,1.000000,19056014.448555,1.151891,0.191453,1513292429,0,11,11.00
1770247104075,6000,1759866364,11,0,1.000000,20948745.498108,1.191047,0.146506,1759866364,0,11,11.00
1770247104325,6250,1943027396,12,0,1.000000,22378703.062936,1.239286,0.153642,1943027396,0,12,12.00
1770247104575,6500,2063628557,12,0,1.000000,22161179.687796,1.176728,0.143776,2063628557,0,12,12.00
1770247104825,6750,2226132994,13,0,1.000000,22520746.688274,1.198393,0.154425,2226132994,0,13,13.00
1770247105075,7000,2402937005,13,0,1.000000,24819897.105983,1.194984,0.134463,2402937005,0,13,13.00
1770247105325,7250,2700522665,14,0,1.000000,26442431.365161,1.224185,0.133897,2700522665,0,14,14.00
1770247105575,7500,2815532254,14,0,1.000000,26384983.515012,1.191464,0.127747,2815532254,0,14,14.00
1770247105825,7750,2867221588,14,0,1.000000,27682083.444374,1.195073,0.128683,2867221588,0,14,14.00
1770247106075,8000,3237683507,15,0,1.000000,25081097.590001,1.170709,0.103657,3237683507,0,15,15.00
1770247106325,8250,3427087095,15,0,1.000000,26549567.944463,1.141434,0.092574,3427087095,0,15,15.00
1770247106575,8500,3791998527,16,0,1.000000,24773657.512551,1.100474,0.094982,3791998527,0,16,16.00
1770247106825,8750,3975246182,16,0,1.000000,26751453.699850,1.097426,0.084200,3975246182,0,16,16.00
1770247107075,9000,4042199281,17,0,1.000000,27986013.269128,1.133681,0.096707,4042199281,0,17,17.00
1770247107325,9250,4424802800,17,0,1.000000,30430841.870526,1.175217,0.084180,4424802800,0,17,17.00
1770247107575,9500,4731482847,18,0,1.000000,33616558.170895,1.153141,0.096798,4731482847,0,18,18.00
1770247107825,9750,4968873827,18,0,1.000000,30578094.546606,1.098561,0.090827,4968873827,0,18,18.00
1770247108075,10000,5198917467,19,0,1.000000,30306585.824946,1.076719,0.100016,5198917467,0,19,19.00
1770247108325,10250,5450691734,19,0,1.000000,36477163.407064,1.108390,0.092485,5450691734,0,19,19.00
1770247108575,10500,5967338083,20,0,1.000000,43488897.274252,1.096446,0.094081,5967338083,0,20,20.00
1770247108825,10750,6268768733,20,0,1.000000,39672421.397417,1.052714,0.084458,6268768733,0,20,20.00
1770247109075,11000,6455537320,21,0,1.000000,39886801.860893,1.059966,0.087454,6455537320,0,21,21.00
1770247109325,11250,6734635407,21,0,1.000000,41873076.435993,1.081636,0.085014,6734635407,0,21,21.00
1770247109575,11500,7342823503,22,0,1.000000,45227338.076561,1.092537,0.074244,7342823503,0,22,22.00
1770247109825,11750,7459035187,22,0,1.000000,52756070.866485,1.119418,0.074804,7459035187,0,22,22.00
1770247110075,12000,7632588130,23,0,1.000000,47334131.770866,1.148116,0.082634,7632588130,0,23,23.00
1770247110325,12250,8176050637,23,0,1.000000,43430832.105178,1.076540,0.072065,8176050637,0,23,23.00
1770247110575,12500,8606742715,24,0,1.000000,73907684.330834,1.154262,0.075951,8606742715,0,24,24.00
1770247110825,12750,8833108617,24,0,1.000000,108240593.493343,1.186915,0.075283,8833108617,0,24,24.00
1770247111075,13000,9209071933,25,0,1.000000,63992172.267331,1.123928,0.078968,9209071933,0,25,25.00
1770247111325,13250,9508025035,25,0,1.000000,81009921.555862,1.113517,0.077095,9508025035,0,25,25.00
1770247111575,13500,10152350286,26,0,1.000000,96884057.280719,1.158285,0.075185,10152350286,0,26,26.00
1770247111825,13750,10390124685,26,0,1.000000,131053689.956417,1.130587,0.079658,10390124685,0,26,26.00
1770247112075,14000,10932397467,27,0,1.000000,133670511.982735,1.158280,0.070818,10932397467,0,27,27.00
1770247112325,14250,11165907136,27,0,1.000000,137943307.592538,1.120461,0.071881,11165907136,0,27,27.00
1770247112575,14500,11835413385,28,0,1.000000,161110760.599513,1.109353,0.074035,11835413385,0,28,28.00
1770247112825,14750,12229643150,28,0,1.000000,179840532.695747,1.081271,0.067585,12229643150,0,28,28.00
1770247113075,15000,12520662389,29,0,1.000000,110725728.117401,1.086556,0.077520,12520662389,0,29,29.00
1770247113325,15250,12805883717,29,0,1.000000,114979036.579289,1.116717,0.084292,12805883717,0,29,29.00
1770247113575,15500,13227103300,30,0,1.000000,128496061.772917,1.135395,0.080560,13227103300,0,30,30.00
1770247113825,15750,13227103300,30,0,1.000000,128496061.772917,1.135395,0.080560,13227103300,0,30,30.00
1770247114075,16000,13480847866,31,0,1.000000,291547519.348724,1.293814,0.103028,13480847866,0,31,31.00
1770247114325,16250,13783299946,31,0,1.000000,200235790.505785,1.416126,0.113152,13783299946,0,31,31.00
1770247114575,16500,14502863556,32,0,1.000000,101932358.437838,1.627179,0.112450,14502863556,0,32,32.00
1770247114825,16750,14626660702,32,0,1.000000,91103798.354844,1.651777,0.110807,14626660702,0,32,32.00
1770247115075,17000,14799320590,33,0,1.000000,82185104.046185,1.752032,0.120147,14799320590,0,33,33.00
1770247115325,17250,15130705710,33,0,1.000000,81651483.969745,1.728423,0.120393,15130705710,0,33,33.00
1770247115575,17500,15186066960,33,0,1.000000,84476962.034798,1.746512,0.121383,15186066960,0,33,33.00
1770247115825,17750,15931921406,34,0,1.000000,58682339.277229,1.758883,0.077870,15931921406,0,34,34.00
1770247116075,18000,15931921406,35,0,1.000000,54538268.527362,1.801235,0.086667,15931921406,0,35,35.00
1770247116325,18250,16109620603,35,0,1.000000,44880270.683305,1.869932,0.099477,16109620603,0,35,35.00
1770247116575,18500,16224110308,35,0,1.000000,37338145.740237,1.882005,0.105355,16224110308,0,35,35.00
1770247116825,18750,16520258758,36,0,1.000000,42618798.007193,2.162105,0.153553,16520258758,0,36,36.00
1770247117075,19000,16639459117,37,0,1.000000,38896863.514903,2.171939,0.158781,16639459117,0,37,37.00
1770247117325,19250,16919873199,37,0,1.000000,44736658.622962,2.237987,0.133969,16919873199,0,37,37.00
1770247117575,19500,17233125067,37,0,1.000000,72560501.852511,2.339582,0.100177,17233125067,0,37,37.00
