timestamp_ms,elapsed_ms,client_01_bytes,client_01_concurrency,client_01_retries,client_01_success_ratio,client_01_predicted_bandwidth,client_01_predicted_max_rtt,client_01_predicted_max_rtt_standard_error,total_bytes,total_retries,total_concurrency,average_concurrency
1770243492341,0,0,1,0,1.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770243492591,250,0,1,0,1.000000,11102038.690260,6.044978,0.000000,0,0,1,1.00
1770243492841,500,0,1,0,1.000000,20256921.908623,2.710904,0.000000,0,0,1,1.00
1770243493091,750,0,1,0,1.000000,23551251.404828,1.995373,0.000000,0,0,1,1.00
1770243493341,1000,0,1,0,1.000000,24537945.413274,1.682837,0.000000,0,0,1,1.00
1770243493591,1250,62914102,2,0,1.000000,24492725.344893,2.440975,0.000000,62914102,0,2,2.00
1770243493841,1500,62914102,2,0,1.000000,28272760.275107,2.522202,0.000000,62914102,0,2,2.00
1770243494091,1750,62914102,2,0,1.000000,30044678.593577,2.549495,0.000000,62914102,0,2,2.00
1770243494341,2000,62914102,3,0,1.000000,32709010.499473,3.749184,0.000000,62914102,0,3,3.00
1770243494591,2250,62914102,3,0,1.000000,23255839.358304,2.829710,0.000000,62914102,0,3,3.00
1770243494841,2500,171721128,4,0,1.000000,14076661.169254,1.633035,0.836584,171721128,0,4,4.00
1770243495091,2750,171721128,4,0,1.000000,16038042.156718,1.718141,0.864144,171721128,0,4,4.00
1770243495341,3000,223821918,5,0,1.000000,15471514.971690,1.709610,0.742570,223821918,0,5,5.00
1770243495591,3250,223821918,5,0,1.000000,17492007.199042,1.785628,0.783897,223821918,0,5,5.00
1770243495841,3500,223821918,6,0,1.000000,17422869.722450,1.980691,1.012658,223821918,0,6,6.00
1770243496091,3750,389947297,6,0,1.000000,15202242.135433,1.645159,0.288582,389947297,0,6,6.00
1770243496341,4000,389947297,7,0,1.000000,16339843.888463,1.843285,0.389494,389947297,0,7,7.00
1770243496591,4250,510735547,7,0,1.000000,15685240.699113,1.597076,0.266663,510735547,0,7,7.00
1770243496841,4500,510735547,8,0,1.000000,16306863.301163,1.748398,0.344417,510735547,0,8,8.00
1770243497091,4750,510735547,8,0,1.000000,16776177.255739,1.750239,0.358616,510735547,0,8,8.00
1770243497341,5000,680152407,9,0,1.000000,15261995.425760,1.637176,0.257388,680152407,0,9,9.00
1770243497591,5250,857496534,9,0,1.000000,17044142.029929,1.608281,0.202480,857496534,0,9,9.00
1770243497841,5500,922639820,10,0,1.000000,18491784.943385,1.768740,0.207237,922639820,0,10,10.00
1770243498091,5750,922639820,10,0,1.000000,19879018.461690,1.784563,0.219935,922639820,0,10,10.00
1770243498341,6000,988798791,10,0,1.000000,18816338.011339,1.687258,0.198904,988798791,0,10,10.00
1770243498591,6250,1267577152,11,0,1.000000,18187000.693714,1.562368,0.171055,1267577152,0,11,11.00
1770243498841,6500,1389569492,12,0,1.000000,19398879.627989,1.662957,0.173176,1389569492,0,12,12.00
1770243499091,6750,1446300944,12,0,1.000000,20209904.526200,1.628890,0.171675,1446300944,0,12,12.00
1770243499341,7000,1553110428,12,0,1.000000,21521297.471439,1.619066,0.159428,1553110428,0,12,12.00
1770243499591,7250,1774859415,13,0,1.000000,20994732.205516,1.568714,0.152407,1774859415,0,13,13.00
1770243499841,7500,1891337220,14,0,1.000000,21177574.191667,1.602986,0.158843,1891337220,0,14,14.00
1770243500091,7750,2111227766,14,0,1.000000,21914506.602069,1.550734,0.131139,2111227766,0,14,14.00
1770243500341,8000,2165971475,14,0,1.000000,23254665.527551,1.539447,0.131909,2165971475,0,14,14.00
1770243500591,8250,2231096269,15,0,1.000000,24811372.160481,1.599214,0.146585,2231096269,0,15,15.00
1770243500841,8500,2464804029,16,0,1.000000,23895494.735106,1.593703,0.127806,2464804029,0,16,16.00
1770243501091,8750,2761617437,16,0,1.000000,24470525.416642,1.526963,0.096974,2761617437,0,16,16.00
1770243501341,9000,2887241518,16,0,1.000000,26855665.669040,1.512801,0.089714,2887241518,0,16,16.00
1770243501591,9250,3062924813,17,0,1.000000,29651624.522885,1.543711,0.098596,3062924813,0,17,17.00
1770243501841,9500,3130025057,18,0,1.000000,30884270.537366,1.615128,0.104734,3130025057,0,18,18.00
1770243502091,9750,3242213085,18,0,1.000000,31059305.742929,1.588372,0.098269,3242213085,0,18,18.00
1770243502341,10000,3479537128,18,0,1.000000,31758387.020933,1.563687,0.076139,3479537128,0,18,18.00
1770243502591,10250,3713632475,19,0,1.000000,35631327.292446,1.653363,0.074133,3713632475,0,19,19.00
1770243502841,10500,4027015829,19,0,1.000000,39003032.170336,1.612149,0.059484,4027015829,0,19,19.00
1770243503091,10750,4027015829,20,0,1.000000,39509509.274834,1.682614,0.070453,4027015829,0,20,20.00
1770243503341,11000,4027015829,20,0,1.000000,38803164.188305,1.679200,0.075173,4027015829,0,20,20.00
1770243503591,11250,4083535649,21,0,1.000000,37770340.112331,1.755787,0.080852,4083535649,0,21,21.00
1770243503841,11500,4198968967,21,0,1.000000,41458690.501775,1.822089,0.101863,4198968967,0,21,21.00
1770243504091,11750,4663597756,22,0,1.000000,50650714.776147,2.088156,0.129061,4663597756,0,22,22.00
1770243504341,12000,4663597756,22,0,1.000000,44928630.280958,2.080557,0.137859,4663597756,0,22,22.00
1770243504591,12250,4836172867,23,0,1.000000,48504874.559047,2.326234,0.182531,4836172867,0,23,23.00
1770243504841,12500,4953409311,23,0,1.000000,41223357.549758,2.339700,0.172071,4953409311,0,23,23.00
1770243505091,12750,4953409311,24,0,1.000000,30579909.964627,2.407760,0.235418,4953409311,0,24,24.00
1770243505341,13000,4953409311,24,0,1.000000,29246739.325469,2.402177,0.261791,4953409311,0,24,24.00
1770243505591,13250,5144936958,25,0,1.000000,54243613.300683,2.747136,0.283066,5144936958,0,25,25.00
1770243505841,13500,5323779107,25,0,1.000000,59396098.842056,2.782370,0.281609,5323779107,0,25,25.00
1770243506091,13750,5564622877,26,0,1.000000,27583310.107709,2.575170,0.339750,5564622877,0,26,26.00
1770243506341,14000,5564622877,26,0,1.000000,29781441.018076,2.582369,0.377041,5564622877,0,26,26.00
1770243506591,14250,5742326309,26,0,1.000000,41371855.070623,2.853947,0.326570,5742326309,0,26,26.00
1770243506841,14500,5803409929,27,0,1.000000,44854426.525283,2.917020,0.336027,5803409929,0,27,27.00
1770243507091,14750,5992070274,28,0,1.000000,40096807.782878,3.164468,0.471219,5992070274,0,28,28.00
1770243507341,15000,5992070274,28,0,1.000000,37526107.392645,3.148989,0.513237,5992070274,0,28,28.00
1770243507591,15250,6109475581,28,0,1.000000,20494845.351279,3.042185,0.540901,6109475581,0,28,28.00
