timestamp_ms,elapsed_ms,client_01_bytes,client_01_concurrency,client_01_retries,client_01_success_ratio,client_01_predicted_bandwidth,client_01_predicted_max_rtt,client_01_predicted_max_rtt_standard_error,total_bytes,total_retries,total_concurrency,average_concurrency
1770244094109,0,0,1,0,1.000000,0.000000,0.000000,0.000000,0,0,1,1.00
1770244094359,250,0,1,0,1.000000,19092588.187646,3.510834,0.000000,0,0,1,1.00
1770244094609,500,0,1,0,1.000000,26548778.508107,2.082950,0.000000,0,0,1,1.00
1770244094859,750,0,1,0,1.000000,28761075.510353,1.672355,0.000000,0,0,1,1.00
1770244095109,1000,0,1,0,1.000000,28293944.422160,1.799652,0.000000,0,0,1,1.00
1770244095359,1250,0,1,0,1.000000,28277063.703754,1.632236,0.000000,0,0,1,1.00
1770244095609,1500,56273497,2,0,1.000000,29433525.966374,3.577597,0.000000,56273497,0,2,2.00
1770244095859,1750,56273497,2,0,1.000000,30921585.841724,3.607599,0.000000,56273497,0,2,2.00
1770244096109,2000,56273497,2,0,1.000000,34525190.347452,3.658713,0.000000,56273497,0,2,2.00
1770244096359,2250,56273497,3,0,1.000000,36231114.638471,5.312763,0.000000,56273497,0,3,3.00
1770244096609,2500,56273497,3,0,1.000000,25704432.474834,4.437331,0.000000,56273497,0,3,3.00
1770244096859,2750,56273497,4,0,1.000000,25493715.567234,5.621568,0.000000,56273497,0,4,4.00
1770244097109,3000,113109189,4,0,1.000000,11909331.706766,1.873955,3.889189,113109189,0,4,4.00
1770244097359,3250,113109189,5,0,1.000000,13194467.636968,2.204072,4.188159,113109189,0,5,5.00
1770244097609,3500,231141015,5,0,1.000000,13019226.293529,2.087210,0.714257,231141015,0,5,5.00
1770244097859,3750,231141015,5,0,1.000000,14071546.170404,2.119438,0.733607,231141015,0,5,5.00
1770244098109,4000,231141015,6,0,1.000000,14465660.793063,2.383927,0.986167,231141015,0,6,6.00
1770244098359,4250,294236483,7,0,1.000000,13332680.191119,2.243122,0.775823,294236483,0,7,7.00
1770244098609,4500,294236483,7,0,1.000000,14136692.439264,2.262038,0.793904,294236483,0,7,7.00
1770244098859,4750,356665387,7,0,1.000000,14355499.279266,2.227784,0.537799,356665387,0,7,7.00
1770244099109,5000,414730032,8,0,1.000000,14468867.887705,2.327057,0.532708,414730032,0,8,8.00
1770244099359,5250,475463546,8,0,1.000000,15515563.067428,2.296726,0.428927,475463546,0,8,8.00
1770244099609,5500,589762180,9,0,1.000000,15223835.572436,2.326815,0.382482,589762180,0,9,9.00
1770244099859,5750,650058164,9,0,1.000000,16155551.179415,2.327196,0.328036,650058164,0,9,9.00
